record_id,disease_class,lead,path_raw,n_beats,n_critical,n_xmethod,n_needs,frac_critical,frac_xmethod,frac_needs,priority_tier,example_beat,example_qc_flags,example_xmethod_issues
mc_mi_LCX_0p3_post_train_run_S66_run_000027,mi,aVF,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S66/run_000027_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,PR=54ms,
mc_mi_LAD_0p3_train_run_S65_run_000076,mi,V1,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S65/run_000076_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=50ms,
mc_iab_test_run_S62_000101,iab,V2,WP2_largeDataset_Noise/iab/test/run_S62/000101_raw.csv,14,14,12,14,1.00,0.86,1.00,1_critical,1,PR=50ms,
mc_mi_RCA_1p0_test_run_S62_run_000073,mi,V3,WP2_largeDataset_Noise/mi/RCA_1.0/test/run_S62/run_000073_raw.csv,11,11,10,11,1.00,0.91,1.00,1_critical,1,PR=62ms,
mc_mi_RCA_1p0_test_run_S62_run_000073,mi,V4,WP2_largeDataset_Noise/mi/RCA_1.0/test/run_S62/run_000073_raw.csv,11,11,10,11,1.00,0.91,1.00,1_critical,1,PR=68ms,
mc_iab_test_run_S62_000097,iab,aVR,WP2_largeDataset_Noise/iab/test/run_S62/000097_raw.csv,13,13,5,13,1.00,0.38,1.00,1_critical,1,PR=76ms,
mc_mi_LCX_0p3_post_train_run_S66_run_000007,mi,I,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S66/run_000007_raw.csv,14,14,0,14,1.00,0.00,1.00,1_critical,1,PR=54ms,
mc_mi_LCX_0p3_ant_train_run_S66_run_000036,mi,aVF,WP2_largeDataset_Noise/mi/LCX_0.3_ant/train/run_S66/run_000036_raw.csv,10,10,1,10,1.00,0.10,1.00,1_critical,1,PR=70ms,
mc_mi_LCX_0p3_ant_train_run_S66_run_000036,mi,aVL,WP2_largeDataset_Noise/mi/LCX_0.3_ant/train/run_S66/run_000036_raw.csv,10,10,0,10,1.00,0.00,1.00,1_critical,1,PR=56ms,
mc_lbbb_test_run_S64_run_000060,lbbb,II,WP2_largeDataset_Noise/lbbb/test/run_S64/run_000060_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,QRSdur=224ms;PR=48ms,
mc_mi_LCX_1p0_ant_test_run_S64_run_000029,mi,V4,WP2_largeDataset_Noise/mi/LCX_1.0_ant/test/run_S64/run_000029_raw.csv,14,14,13,14,1.00,0.93,1.00,1_critical,1,PR=68ms,
mc_mi_LAD_1p0_train_run_S74_run_000037,mi,III,WP2_largeDataset_Noise/mi/LAD_1.0/train/run_S74/run_000037_raw.csv,14,14,13,14,1.00,0.93,1.00,1_critical,1,PR=68ms,
mc_mi_RCA_1p0_train_run_S69_run_000026,mi,V4,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S69/run_000026_raw.csv,10,10,0,10,1.00,0.00,1.00,1_critical,1,PR=68ms,
mc_mi_LCX_1p0_post_test_run_S64_run_000030,mi,V4,WP2_largeDataset_Noise/mi/LCX_1.0_post/test/run_S64/run_000030_raw.csv,9,9,0,9,1.00,0.00,1.00,1_critical,1,PR=64ms,
mc_rbbb_train_run_S66_run_000020,rbbb,aVL,WP2_largeDataset_Noise/rbbb/train/run_S66/run_000020_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,PR=50ms,
mc_lae_validation_run_S63_000130,lae,I,WP2_largeDataset_Noise/lae/validation/run_S63/000130_raw.csv,13,13,4,13,1.00,0.31,1.00,1_critical,1,PR=74ms,
mc_mi_LAD_0p3_train_run_S69_run_000004,mi,III,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S69/run_000004_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=68ms,
mc_rbbb_train_run_S72_run_000056,rbbb,III,WP2_largeDataset_Noise/rbbb/train/run_S72/run_000056_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=40ms,
mc_mi_LCX_1p0_ant_validation_run_S63_run_000037,mi,aVL,WP2_largeDataset_Noise/mi/LCX_1.0_ant/validation/run_S63/run_000037_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=58ms,
mc_fam_test_run_S62_000101,fam,V1,WP2_largeDataset_Noise/fam/test/run_S62/000101_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,PR=68ms,
mc_mi_LAD_0p3_validation_run_S63_run_000003,mi,V2,WP2_largeDataset_Noise/mi/LAD_0.3/validation/run_S63/run_000003_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=74ms,
mc_mi_LCX_1p0_ant_train_run_S66_run_000007,mi,I,WP2_largeDataset_Noise/mi/LCX_1.0_ant/train/run_S66/run_000007_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=70ms,
mc_mi_LCX_0p3_post_train_run_S65_run_000025,mi,aVF,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S65/run_000025_raw.csv,11,11,10,11,1.00,0.91,1.00,1_critical,1,PR=74ms,
mc_mi_LCX_0p3_ant_train_run_S65_run_000029,mi,aVL,WP2_largeDataset_Noise/mi/LCX_0.3_ant/train/run_S65/run_000029_raw.csv,11,11,10,11,1.00,0.91,1.00,1_critical,1,PR=74ms,
mc_iab_train_run_S64_000063,iab,aVR,WP2_largeDataset_Noise/iab/train/run_S64/000063_raw.csv,13,13,8,13,1.00,0.62,1.00,1_critical,1,PR=74ms,
mc_mi_LCX_1p0_post_train_run_S70_run_000026,mi,V2,WP2_largeDataset_Noise/mi/LCX_1.0_post/train/run_S70/run_000026_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=74ms,
mc_mi_LCX_1p0_post_train_run_S70_run_000026,mi,V3,WP2_largeDataset_Noise/mi/LCX_1.0_post/train/run_S70/run_000026_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=76ms,
mc_mi_LCX_0p3_ant_validation_run_S67_run_000004,mi,aVL,WP2_largeDataset_Noise/mi/LCX_0.3_ant/validation/run_S67/run_000004_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=76ms,
mc_mi_LCX_1p0_ant_train_run_S69_run_000039,mi,V2,WP2_largeDataset_Noise/mi/LCX_1.0_ant/train/run_S69/run_000039_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=72ms,
mc_mi_RCA_1p0_train_run_S68_run_000037,mi,aVF,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S68/run_000037_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=78ms,
mc_mi_RCA_1p0_train_run_S72_run_000005,mi,aVL,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S72/run_000005_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,QT=246ms,
mc_mi_LCX_0p3_post_train_run_S72_run_000007,mi,aVL,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S72/run_000007_raw.csv,13,13,3,13,1.00,0.23,1.00,1_critical,1,QRSdur=222ms;PR=44ms,
mc_mi_LCX_1p0_ant_train_run_S73_run_000050,mi,aVL,WP2_largeDataset_Noise/mi/LCX_1.0_ant/train/run_S73/run_000050_raw.csv,14,14,13,14,1.00,0.93,1.00,1_critical,1,PR=58ms,
mc_mi_RCA_0p3_train_run_S69_run_000018,mi,aVL,WP2_largeDataset_Noise/mi/RCA_0.3/train/run_S69/run_000018_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=70ms,
mc_mi_LCX_0p3_post_train_run_S71_run_000007,mi,V1,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S71/run_000007_raw.csv,12,12,10,12,1.00,0.83,1.00,1_critical,1,PR=52ms,
mc_mi_LCX_0p3_ant_validation_run_S63_run_000005,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_ant/validation/run_S63/run_000005_raw.csv,14,14,0,14,1.00,0.00,1.00,1_critical,1,PR=62ms,
mc_mi_RCA_1p0_train_run_S65_run_000082,mi,V4,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S65/run_000082_raw.csv,11,11,10,11,1.00,0.91,1.00,1_critical,1,QRSdur=210ms,
mc_mi_RCA_1p0_train_run_S69_run_000072,mi,III,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S69/run_000072_raw.csv,9,9,8,9,1.00,0.89,1.00,1_critical,1,PR=66ms,
mc_lbbb_test_run_S62_run_000054,lbbb,I,WP2_largeDataset_Noise/lbbb/test/run_S62/run_000054_raw.csv,12,12,0,12,1.00,0.00,1.00,1_critical,1,PR=70ms,
mc_fam_train_run_S74_000108,fam,aVF,WP2_largeDataset_Noise/fam/train/run_S74/000108_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=52ms,
mc_lbbb_validation_run_S63_run_000088,lbbb,aVF,WP2_largeDataset_Noise/lbbb/validation/run_S63/run_000088_raw.csv,17,17,0,17,1.00,0.00,1.00,1_critical,1,gross_boundary:54smp;QT=236ms,
mc_lbbb_validation_run_S63_run_000088,lbbb,aVL,WP2_largeDataset_Noise/lbbb/validation/run_S63/run_000088_raw.csv,17,17,0,17,1.00,0.00,1.00,1_critical,1,gross_boundary:50smp;QT=176ms,
mc_lbbb_validation_run_S63_run_000088,lbbb,aVR,WP2_largeDataset_Noise/lbbb/validation/run_S63/run_000088_raw.csv,17,17,2,17,1.00,0.12,1.00,1_critical,1,gross_boundary:55smp;QRSdur=206ms;QT=248ms,
mc_mi_LCX_1p0_post_train_run_S73_run_000040,mi,aVL,WP2_largeDataset_Noise/mi/LCX_1.0_post/train/run_S73/run_000040_raw.csv,14,14,13,14,1.00,0.93,1.00,1_critical,1,PR=68ms,
mc_mi_LCX_1p0_post_train_run_S66_run_000045,mi,V5,WP2_largeDataset_Noise/mi/LCX_1.0_post/train/run_S66/run_000045_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,PR=60ms,
mc_mi_LCX_0p3_post_train_run_S66_run_000013,mi,I,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S66/run_000013_raw.csv,12,12,0,12,1.00,0.00,1.00,1_critical,1,QRSdur=234ms,
mc_mi_LCX_0p3_post_train_run_S71_run_000005,mi,aVL,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S71/run_000005_raw.csv,11,11,10,11,1.00,0.91,1.00,1_critical,1,PR=56ms,
mc_mi_LCX_1p0_ant_train_run_S66_run_000008,mi,I,WP2_largeDataset_Noise/mi/LCX_1.0_ant/train/run_S66/run_000008_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=68ms,
mc_mi_LAD_0p3_train_run_S72_run_000051,mi,III,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S72/run_000051_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=44ms,
mc_mi_LCX_0p3_ant_validation_run_S63_run_000091,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_ant/validation/run_S63/run_000091_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,QRSdur=210ms,
mc_mi_LAD_0p3_train_run_S71_run_000097,mi,aVL,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S71/run_000097_raw.csv,12,12,10,12,1.00,0.83,1.00,1_critical,1,PR=68ms,
mc_mi_RCA_1p0_train_run_S72_run_000094,mi,V6,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S72/run_000094_raw.csv,12,12,1,12,1.00,0.08,1.00,1_critical,1,QRSdur=218ms;PR=2ms,
mc_mi_LCX_1p0_ant_test_run_S64_run_000021,mi,V4,WP2_largeDataset_Noise/mi/LCX_1.0_ant/test/run_S64/run_000021_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=78ms,
mc_mi_RCA_1p0_train_run_S69_run_000028,mi,III,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S69/run_000028_raw.csv,9,9,8,9,1.00,0.89,1.00,1_critical,1,PR=72ms,
mc_sinus_validation_run_S63_run_000011,sinus,V6,WP2_largeDataset_Noise/sinus/validation/run_S63/run_000011_raw.csv,15,15,0,15,1.00,0.00,1.00,1_critical,1,PR=72ms,
mc_lae_train_run_S67_000122,lae,I,WP2_largeDataset_Noise/lae/train/run_S67/000122_raw.csv,13,13,11,13,1.00,0.85,1.00,1_critical,1,QRSdur=220ms;PR=4ms,
mc_mi_RCA_1p0_train_run_S65_run_000006,mi,V5,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S65/run_000006_raw.csv,11,11,0,11,1.00,0.00,1.00,1_critical,1,QRSdur=208ms,
mc_rbbb_train_run_S73_run_000071,rbbb,III,WP2_largeDataset_Noise/rbbb/train/run_S73/run_000071_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=38ms,
mc_mi_LAD_1p0_train_run_S69_run_000092,mi,aVR,WP2_largeDataset_Noise/mi/LAD_1.0/train/run_S69/run_000092_raw.csv,11,11,3,11,1.00,0.27,1.00,1_critical,1,QRSdur=206ms,
mc_mi_LCX_0p3_ant_train_run_S66_run_000039,mi,aVL,WP2_largeDataset_Noise/mi/LCX_0.3_ant/train/run_S66/run_000039_raw.csv,11,11,0,11,1.00,0.00,1.00,1_critical,1,PR=60ms,
mc_mi_LCX_0p3_ant_train_run_S69_run_000044,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_ant/train/run_S69/run_000044_raw.csv,14,14,0,14,1.00,0.00,1.00,1_critical,1,PR=66ms,
mc_mi_LAD_0p3_train_run_S69_run_000095,mi,I,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S69/run_000095_raw.csv,13,13,1,13,1.00,0.08,1.00,1_critical,1,QRSdur=210ms,
mc_fam_train_run_S72_000088,fam,aVL,WP2_largeDataset_Noise/fam/train/run_S72/000088_raw.csv,14,14,13,14,1.00,0.93,1.00,1_critical,1,PR=72ms,
mc_mi_LCX_0p3_post_train_run_S72_run_000011,mi,V4,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S72/run_000011_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,PR=76ms,
mc_mi_LCX_0p3_post_train_run_S65_run_000014,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S65/run_000014_raw.csv,11,11,0,11,1.00,0.00,1.00,1_critical,1,QRSdur=206ms,
mc_mi_RCA_0p3_test_run_S62_run_000100,mi,V6,WP2_largeDataset_Noise/mi/RCA_0.3/test/run_S62/run_000100_raw.csv,11,11,10,11,1.00,0.91,1.00,1_critical,1,QRSdur=230ms,
mc_mi_LAD_1p0_validation_run_S63_run_000091,mi,V3,WP2_largeDataset_Noise/mi/LAD_1.0/validation/run_S63/run_000091_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=56ms,
mc_mi_RCA_1p0_train_run_S74_run_000024,mi,V3,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S74/run_000024_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=66ms,
mc_mi_LCX_1p0_ant_train_run_S70_run_000029,mi,aVL,WP2_largeDataset_Noise/mi/LCX_1.0_ant/train/run_S70/run_000029_raw.csv,12,12,6,12,1.00,0.50,1.00,1_critical,1,PR=68ms,
mc_mi_LAD_0p3_validation_run_S63_run_000056,mi,III,WP2_largeDataset_Noise/mi/LAD_0.3/validation/run_S63/run_000056_raw.csv,14,14,13,14,1.00,0.93,1.00,1_critical,1,PR=76ms,
mc_mi_RCA_1p0_train_run_S66_run_000062,mi,V1,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S66/run_000062_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,QRSdur=210ms,
mc_mi_LCX_0p3_post_test_run_S62_run_000034,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_post/test/run_S62/run_000034_raw.csv,11,11,0,11,1.00,0.00,1.00,1_critical,1,PR=62ms,
mc_mi_LAD_0p3_train_run_S68_run_000098,mi,aVF,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S68/run_000098_raw.csv,12,12,10,12,1.00,0.83,1.00,1_critical,1,PR=70ms,
mc_mi_LCX_0p3_post_train_run_S74_run_000047,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S74/run_000047_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=68ms,
mc_iab_test_run_S62_000125,iab,III,WP2_largeDataset_Noise/iab/test/run_S62/000125_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,PR=78ms,
mc_mi_LCX_0p3_ant_train_run_S72_run_000005,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_ant/train/run_S72/run_000005_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=62ms,
mc_sinus_train_run_S70_run_000086,sinus,I,WP2_largeDataset_Noise/sinus/train/run_S70/run_000086_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,QRSdur=218ms;PR=14ms,
mc_mi_LCX_0p3_ant_validation_run_S67_run_000007,mi,aVR,WP2_largeDataset_Noise/mi/LCX_0.3_ant/validation/run_S67/run_000007_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,QRSdur=214ms,
mc_mi_LCX_1p0_post_train_run_S70_run_000011,mi,V2,WP2_largeDataset_Noise/mi/LCX_1.0_post/train/run_S70/run_000011_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=68ms,
mc_mi_LAD_1p0_train_run_S73_run_000021,mi,aVF,WP2_largeDataset_Noise/mi/LAD_1.0/train/run_S73/run_000021_raw.csv,9,9,7,9,1.00,0.78,1.00,1_critical,1,QRSdur=212ms,
mc_mi_LAD_0p3_validation_run_S67_run_000016,mi,aVL,WP2_largeDataset_Noise/mi/LAD_0.3/validation/run_S67/run_000016_raw.csv,14,14,0,14,1.00,0.00,1.00,1_critical,1,PR=70ms,
mc_mi_LAD_0p3_train_run_S65_run_000075,mi,I,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S65/run_000075_raw.csv,12,12,4,12,1.00,0.33,1.00,1_critical,1,PR=58ms,
mc_mi_LCX_0p3_post_validation_run_S63_run_000022,mi,aVL,WP2_largeDataset_Noise/mi/LCX_0.3_post/validation/run_S63/run_000022_raw.csv,14,14,0,14,1.00,0.00,1.00,1_critical,1,QRSdur=202ms,
mc_mi_RCA_1p0_train_run_S69_run_000075,mi,III,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S69/run_000075_raw.csv,11,11,10,11,1.00,0.91,1.00,1_critical,1,PR=74ms,
mc_mi_LCX_0p3_ant_test_run_S62_run_000032,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_ant/test/run_S62/run_000032_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=74ms,
mc_rbbb_train_run_S66_run_000020,rbbb,I,WP2_largeDataset_Noise/rbbb/train/run_S66/run_000020_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=48ms,
mc_mi_LAD_1p0_test_run_S64_run_000087,mi,III,WP2_largeDataset_Noise/mi/LAD_1.0/test/run_S64/run_000087_raw.csv,12,12,0,12,1.00,0.00,1.00,1_critical,1,PR=78ms,
mc_mi_RCA_1p0_test_run_S64_run_000026,mi,V3,WP2_largeDataset_Noise/mi/RCA_1.0/test/run_S64/run_000026_raw.csv,10,10,5,10,1.00,0.50,1.00,1_critical,1,PR=52ms,
mc_iab_train_run_S72_000042,iab,aVL,WP2_largeDataset_Noise/iab/train/run_S72/000042_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=24ms,
mc_mi_LAD_0p3_train_run_S71_run_000091,mi,III,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S71/run_000091_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=76ms,
mc_mi_LCX_0p3_post_train_run_S73_run_000036,mi,V1,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S73/run_000036_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=54ms,
mc_mi_LAD_0p3_train_run_S66_run_000009,mi,I,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S66/run_000009_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,QRSdur=240ms,
mc_iab_test_run_S62_000027,iab,aVR,WP2_largeDataset_Noise/iab/test/run_S62/000027_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,PR=78ms,
mc_mi_RCA_1p0_train_run_S65_run_000068,mi,aVL,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S65/run_000068_raw.csv,11,11,0,11,1.00,0.00,1.00,1_critical,1,PR=76ms,
mc_mi_LAD_1p0_validation_run_S67_run_000020,mi,V4,WP2_largeDataset_Noise/mi/LAD_1.0/validation/run_S67/run_000020_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=62ms,
mc_mi_LCX_1p0_post_train_run_S66_run_000036,mi,I,WP2_largeDataset_Noise/mi/LCX_1.0_post/train/run_S66/run_000036_raw.csv,13,13,11,13,1.00,0.85,1.00,1_critical,1,PR=56ms,
mc_mi_LCX_1p0_ant_train_run_S68_run_000025,mi,III,WP2_largeDataset_Noise/mi/LCX_1.0_ant/train/run_S68/run_000025_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=62ms,
mc_mi_LCX_0p3_post_train_run_S72_run_000043,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S72/run_000043_raw.csv,11,11,10,11,1.00,0.91,1.00,1_critical,1,PR=56ms,
mc_mi_LAD_0p3_validation_run_S67_run_000100,mi,aVL,WP2_largeDataset_Noise/mi/LAD_0.3/validation/run_S67/run_000100_raw.csv,12,12,10,12,1.00,0.83,1.00,1_critical,1,PR=62ms,
mc_mi_LAD_0p3_train_run_S65_run_000076,mi,I,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S65/run_000076_raw.csv,12,12,0,12,1.00,0.00,1.00,1_critical,1,PR=68ms,
mc_mi_RCA_1p0_train_run_S69_run_000036,mi,III,WP2_largeDataset_Noise/mi/RCA_1.0/train/run_S69/run_000036_raw.csv,9,9,8,9,1.00,0.89,1.00,1_critical,1,QRSdur=218ms,
mc_mi_LAD_0p3_train_run_S65_run_000006,mi,aVR,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S65/run_000006_raw.csv,11,11,0,11,1.00,0.00,1.00,1_critical,1,PR=48ms,
mc_mi_LCX_1p0_ant_train_run_S74_run_000022,mi,aVL,WP2_largeDataset_Noise/mi/LCX_1.0_ant/train/run_S74/run_000022_raw.csv,14,14,0,14,1.00,0.00,1.00,1_critical,1,PR=68ms,
mc_mi_LAD_0p3_train_run_S65_run_000011,mi,aVL,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S65/run_000011_raw.csv,10,10,0,10,1.00,0.00,1.00,1_critical,1,PR=60ms,
mc_sinus_train_run_S65_run_000100,sinus,I,WP2_largeDataset_Noise/sinus/train/run_S65/run_000100_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=68ms,
mc_mi_LAD_0p3_validation_run_S67_run_000063,mi,aVL,WP2_largeDataset_Noise/mi/LAD_0.3/validation/run_S67/run_000063_raw.csv,11,11,10,11,1.00,0.91,1.00,1_critical,1,PR=64ms,
mc_mi_RCA_0p3_train_run_S66_run_000003,mi,II,WP2_largeDataset_Noise/mi/RCA_0.3/train/run_S66/run_000003_raw.csv,12,12,0,12,1.00,0.00,1.00,1_critical,1,QRSdur=208ms;QT=702ms,
mc_mi_LCX_0p3_post_test_run_S64_run_000012,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_post/test/run_S64/run_000012_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=60ms,
mc_mi_LAD_0p3_validation_run_S67_run_000085,mi,III,WP2_largeDataset_Noise/mi/LAD_0.3/validation/run_S67/run_000085_raw.csv,10,10,0,10,1.00,0.00,1.00,1_critical,1,PR=64ms,
mc_rbbb_train_run_S69_run_000066,rbbb,II,WP2_largeDataset_Noise/rbbb/train/run_S69/run_000066_raw.csv,27,27,1,27,1.00,0.04,1.00,1_critical,1,QT=210ms,
mc_mi_LCX_0p3_post_train_run_S71_run_000036,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S71/run_000036_raw.csv,11,11,10,11,1.00,0.91,1.00,1_critical,1,PR=70ms,
mc_mi_RCA_1p0_test_run_S62_run_000017,mi,III,WP2_largeDataset_Noise/mi/RCA_1.0/test/run_S62/run_000017_raw.csv,9,9,8,9,1.00,0.89,1.00,1_critical,1,PR=64ms,
